time,mean_temp_celsius,pr,mosquito_density_m,biting_rate_a,prob_vector_human_bh,prob_human_vector_bm,extrinsic_incubation_n,vector_mortality_mu_m,vectorial_capacity_Vc
2002-01-01,24.564012177937894,0.0,0.1,0.19992525236513292,0.8848274690308008,0.0,12.403316943336058,0.03291006832427401,0.0
2002-01-01,25.21629385828941,0.0,0.1,0.20273006359064447,0.916221624447921,0.0,11.755450259079364,0.03166653122573604,0.0
2002-01-01,25.74098727976517,0.0,0.1,0.20498624530299023,0.937333281768591,0.0,11.270743563048507,0.030608596574535518,0.0
2002-01-01,24.715087586610814,0.036322581652656935,0.1,0.2005748766224265,0.8925615863786274,0.0,12.248606086397864,0.03263230387217564,0.0
2002-01-01,25.886682525329906,0.10043017883940922,0.12008603576788185,0.2056127348589186,0.9424600188973179,0.0,11.14160863063886,0.030311589902064062,0.0
2002-01-01,23.98010697192623,0.08536988815487304,0.1,0.19741445997928278,0.8525884984940926,0.0,13.029047159743454,0.033907326810156624,0.0
2002-01-01,25.70622376089855,0.0,0.1,0.20483676217186375,0.936060723249624,0.0,11.301899190569276,0.030679408489099336,0.0
2002-01-01,25.036944270425806,0.007587512087206273,0.1,0.20195886036283095,0.908123220391556,0.0,11.928436509540898,0.03201888883797088,0.0
2002-01-01,26.803104780455904,0.009636852700023981,0.1,0.20955335055596036,0.9662579150402335,1.0,10.380319101429107,0.02849449641416979,0.11078088270892078
2002-01-01,25.071914965099342,0.10154286598424243,0.12030857319684848,0.20210923434992717,0.9097355138655502,0.0,11.894406409780796,0.03195070355392016,0.0
2002-01-01,25.18109442876107,0.0,0.1,0.20257870604367262,0.9146659248145068,0.0,11.789100504643553,0.0317361843548305,0.0
2002-01-01,26.073103180332804,0.03795327177141327,0.1,0.20641434367543104,0.9485171638475028,0.0,10.979716562227548,0.02993222371515536,0.0
2002-01-01,23.917519692805616,0.0,0.1,0.19714533467906414,0.8489273207194393,0.0,13.098823120893062,0.034006079663407185,0.0
2002-01-01,26.26186800685268,0.05478832073569892,0.1,0.20722603242946652,0.9540482626602074,1.0,10.819527822064146,0.029550879516557993,0.1007008359487382
